County,Sub County,Ward,PRISM Facility Name,FY,Indicator,value,Gender,Coarse Age Group,Finer Age Group
Kakamega County,Lurambi Sub County,Shirere Ward,Kakamega Provincial General Hospital (PGH),2025,Positive,2.0,All,All,All
Kisumu County,Kisumu Central Sub County,Migosi Ward,Migosi Sub County Hospital,2025,Positive,3.0,All,All,All
Kisumu County,Kisumu East Sub County,Manyatta B Ward,Kuoyo Health Center,2025,Positive,1.0,All,All,All
Kisumu County,Kisumu West Sub County,North West Kisumu Ward,Chulaimbo Sub District Hospital,2025,Positive,3.0,All,All,All
Kisumu County,Kisumu West Sub County,South West Kisumu Ward,Ober Kamoth Sub County Hospital,2025,Positive,1.0,All,All,All
Nyamira County,Masaba North Sub County,Rigoma Ward,Masaba District Hospital,2025,Positive,2.0,All,All,All
Nyamira County,Nyamira Sub County,Township Ward,Nyamira County Refferal Hospital,2025,Positive,2.0,All,All,All
Vihiga County,Hamisi Sub County,Shiru Ward,Shiru Health Centre,2025,Positive,1.0,All,All,All
Vihiga County,Vihiga Sub County,Lugaga-wamuluma Ward,Mbale Rural Health Training Centre,2025,Positive,2.0,All,All,All
Kakamega County,Butere Sub County,Marama Central Ward,Butere County Hospital,2026,Positive,3.0,All,All,All
Kakamega County,Butere Sub County,Marama Central Ward,Imanga Health Centre,2026,Positive,1.0,All,All,All
Kakamega County,Butere Sub County,Marama Central Ward,Shitsitswi Health Centre,2026,Positive,1.0,All,All,All
Kakamega County,Butere Sub County,Marama North Ward,Eshimukoko Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Butere Sub County,Marama North Ward,Shiraha Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Butere Sub County,Marama South Ward,Manyala Sub-County  Hospital,2026,Positive,2.0,All,All,All
Kakamega County,Butere Sub County,Marama West Ward,Shisaba Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Ikolomani Sub County,Idakho Central Ward,Shibwe Sub-County Hospital,2026,Positive,2.0,All,All,All
Kakamega County,Ikolomani Sub County,Idakho East Ward,Iguhu County Hospital,2026,Positive,1.0,All,All,All
Kakamega County,Ikolomani Sub County,Idakho East Ward,Shikokho Dispensary,2026,Positive,1.0,All,All,All
Kakamega County,Ikolomani Sub County,Idakho North Ward,Shiseso Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Ikolomani Sub County,Idakho South Ward,Kilingili Health Centre,2026,Positive,1.0,All,All,All
Kakamega County,Khwisero Sub County,Kisa Central Ward,Ekambuli Health Centre,2026,Positive,1.0,All,All,All
Kakamega County,Khwisero Sub County,Kisa Central Ward,Mulwanda Dispensary,2026,Positive,1.0,All,All,All
Kakamega County,Khwisero Sub County,Kisa Central Ward,Namasoli Health Centre,2026,Positive,3.0,All,All,All
Kakamega County,Khwisero Sub County,Kisa North Ward,Khwisero Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Likuyani Sub County,Likuyani Ward,Likuyani Sub-District Hospital,2026,Positive,2.0,All,All,All
Kakamega County,Likuyani Sub County,Nzoia Ward,Mabusi Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Likuyani Sub County,Nzoia Ward,Matunda Sub-District Hospital,2026,Positive,2.0,All,All,All
Kakamega County,Likuyani Sub County,Sango Ward,Sango Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Lugari Sub County,Chekalini Ward,Chekalini Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Lugari Sub County,Chevaywa Ward,Matete Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Lugari Sub County,Lumakanda Ward,Lumakanda District Hospital,2026,Positive,1.0,All,All,All
Kakamega County,Lugari Sub County,Lwandeti Ward,Maturu Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Lugari Sub County,Mautuma Ward,Mukuyu Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Lurambi Sub County,Butsotso Central Ward,Emusanda Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,2026,Positive,1.0,All,All,All
Kakamega County,Lurambi Sub County,Shirere Ward,Ap Line Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Lurambi Sub County,Shirere Ward,Kakamega Provincial General Hospital (PGH),2026,Positive,3.0,All,All,All
Kakamega County,Malava Sub County,East Kabras Ward,Kuvasali Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Malava Sub County,Shirungu-mugai Ward,Malava County Hospital,2026,Positive,2.0,All,All,All
Kakamega County,Malava Sub County,South Kabras Ward,Shamberere Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Malava Sub County,South Kabras Ward,Shihome Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Matungu Sub County,Mayoni Ward,Matungu Sub-county Hospital,2026,Positive,2.0,All,All,All
Kakamega County,Mumias East Sub County,East Wanga Ward,Shianda Dispensary,2026,Positive,2.0,All,All,All
Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Lusheya Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Mumias East Sub County,Malaha/Isongo/Makunga Ward,Makunga Rhdc,2026,Positive,2.0,All,All,All
Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,2026,Positive,2.0,All,All,All
Kakamega County,Mumias West Sub County,Mumias Central Ward,Mumias Level IV Hospital,2026,Positive,2.0,All,All,All
Kisumu County,Kisumu Central Sub County,Migosi Ward,Migosi Sub County Hospital,2026,Positive,7.0,All,All,All
Kisumu County,Kisumu East Sub County,Kajulu Ward,Gita Sub County Hospital,2026,Positive,2.0,All,All,All
Kisumu County,Kisumu East Sub County,Kolwa East Ward,Chiga Health Center,2026,Positive,2.0,All,All,All
Kisumu County,Kisumu East Sub County,Manyatta B Ward,Kuoyo Health Center,2026,Positive,4.0,All,All,All
Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),2026,Positive,3.0,All,All,All
Kisumu County,Kisumu West Sub County,Central Kisumu Ward,St Mark's Lela Health Centre,2026,Positive,2.0,All,All,All
Kisumu County,Kisumu West Sub County,North West Kisumu Ward,Chulaimbo Sub District Hospital,2026,Positive,5.0,All,All,All
Kisumu County,Kisumu West Sub County,South West Kisumu Ward,Ober Kamoth Sub County Hospital,2026,Positive,3.0,All,All,All
Kisumu County,Kisumu West Sub County,South West Kisumu Ward,Ojola Sub County Hospital,2026,Positive,1.0,All,All,All
Nyamira County,Borabu Sub County,Esise Ward,Chepngombe Health Centre,2026,Positive,1.0,All,All,All
Nyamira County,Borabu Sub County,Kiabonyoru Ward,Endiba Health Centre,2026,Positive,1.0,All,All,All
Nyamira County,Borabu Sub County,Mekenene Ward,Mwongori Dispensary,2026,Positive,2.0,All,All,All
Nyamira County,Borabu Sub County,Nyansiongo Ward,Kijauri Sub County Hospital,2026,Positive,3.0,All,All,All
